country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",05-04-2026 08:00,28.695381,77.181665,NO2,16,108,43
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",05-04-2026 08:00,28.594169,77.1251,PM2.5,11,121,46
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",05-04-2026 08:00,28.594169,77.1251,PM10,62,206,111
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",05-04-2026 08:00,28.594169,77.1251,NO2,15,86,46
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",05-04-2026 08:00,28.594169,77.1251,CO,8,76,53
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",05-04-2026 08:00,28.656756,77.227234,NO2,40,234,103
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",05-04-2026 08:00,28.656756,77.227234,SO2,13,19,16
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",05-04-2026 08:00,28.615828,77.271992,NO2,11,40,20
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",05-04-2026 08:00,22.368195,82.746431,NO2,9,69,24
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",05-04-2026 08:00,22.348441,82.549611,PM2.5,1,103,17
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",05-04-2026 08:00,22.348441,82.549611,OZONE,2,5,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",05-04-2026 08:00,22.12665,83.483212,NO2,13,69,34
India,Delhi,Delhi,"Bawana, Delhi - DPCC",05-04-2026 08:00,28.7762,77.051074,PM2.5,28,369,141
India,Delhi,Delhi,"Bawana, Delhi - DPCC",05-04-2026 08:00,28.7762,77.051074,PM10,50,403,127
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",05-04-2026 08:00,28.7256504,77.2011573,PM10,61,229,116
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",05-04-2026 08:00,28.5512005,77.2735737,NO2,40,82,55
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",05-04-2026 08:00,21.237755,81.705301,PM10,35,59,45
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",05-04-2026 08:00,21.371751,81.664929,SO2,3,37,13
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",05-04-2026 08:00,21.371751,81.664929,CO,14,17,17
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",05-04-2026 08:00,28.611281,77.237738,PM2.5,32,177,66
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",05-04-2026 08:00,28.611281,77.237738,NO2,35,149,81
India,Delhi,Delhi,"ITO, Delhi - CPCB",05-04-2026 08:00,28.628624,77.24106,NH3,1,6,5
India,Delhi,Delhi,"ITO, Delhi - CPCB",05-04-2026 08:00,28.628624,77.24106,OZONE,38,137,42
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",05-04-2026 08:00,22.1910172,83.5197009,OZONE,6,112,9
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",05-04-2026 08:00,28.6514781,77.1473105,CO,14,109,53
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",05-04-2026 08:00,28.6514781,77.1473105,OZONE,8,39,14
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",05-04-2026 08:00,28.5504249,77.2159377,NH3,9,18,13
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",05-04-2026 08:00,28.710508,77.249485,PM2.5,30,303,99
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",05-04-2026 08:00,28.710508,77.249485,NO2,11,69,31
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",05-04-2026 08:00,28.710508,77.249485,SO2,22,44,32
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",05-04-2026 08:00,28.531346,77.190156,SO2,4,16,12
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",05-04-2026 08:00,28.531346,77.190156,OZONE,1,125,4
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",05-04-2026 08:00,28.60909,77.0325413,NO2,68,176,94
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",05-04-2026 08:00,28.60909,77.0325413,SO2,4,8,6
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",05-04-2026 08:00,28.594004,76.909423,NO2,1,63,20
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",05-04-2026 08:00,28.594004,76.909423,CO,66,161,83
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",05-04-2026 08:00,28.570173,76.933762,NO2,6,78,27
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",05-04-2026 08:00,28.62181,77.1944633,CO,18,53,37
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",05-04-2026 08:00,28.672342,77.31526,PM2.5,40,188,92
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",05-04-2026 08:00,28.672342,77.31526,SO2,12,32,19
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",05-04-2026 08:00,28.699793,77.165453,CO,65,122,71
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",05-04-2026 08:00,28.699793,77.165453,OZONE,4,78,12
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",05-04-2026 08:00,28.6573814,77.1585447,OZONE,3,48,4
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",05-04-2026 08:00,28.530785,77.271255,NH3,9,14,11
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",05-04-2026 08:00,28.530785,77.271255,OZONE,4,122,11
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",05-04-2026 08:00,28.674045,77.131023,PM10,81,322,129
India,Delhi,Delhi,"Pusa, Delhi - DPCC",05-04-2026 08:00,28.639652,77.146275,NO2,46,113,73
India,Delhi,Delhi,"Pusa, Delhi - DPCC",05-04-2026 08:00,28.639652,77.146275,OZONE,4,76,12
